Name,Mileage,Rating,Review Count,Price
2021 Mercedes-Benz A-Class A 220 4MATIC,"29,636 mi.",3.9,1800.0,30900.0
2022 Mercedes-Benz AMG SL 63 Base,"5,540 mi.",4.7,1239.0,139999.0
2022 Mercedes-Benz AMG SL 63 Base,"4,890 mi.",4.7,1239.0,132999.0
2020 Mercedes-Benz AMG E 53 Base 4MATIC,"29,746 mi.",4.8,752.0,58587.0
2021 Mercedes-Benz AMG GLS 63 Base 4MATIC,"32,631 mi.",5.0,1502.0,95990.0
2022 Mercedes-Benz AMG E 53 Base 4MATIC,"3,573 mi.",4.7,1239.0,74999.0
2022 Mercedes-Benz AMG SL 63 Base,"1,254 mi.",4.7,1239.0,130999.0
2023 Mercedes-Benz GLE 350 Base 4MATIC,"23,071 mi.",3.2,98.0,55995.0
2021 Mercedes-Benz AMG GT C,"15,755 mi.",4.8,902.0,71999.0
2023 Mercedes-Benz AMG CLA 45 Base 4MATIC,"2,910 mi.",4.5,344.0,62975.0
2021 Mercedes-Benz AMG GT 53 Base,"17,499 mi.",4.7,1594.0,82895.0
2023 Mercedes-Benz EQB 250 Base,"3,159 mi.",4.6,585.0,50226.0
2019 Mercedes-Benz CLA 250 Base 4MATIC,"61,419 mi.",4.0,377.0,22495.0
2023 Mercedes-Benz GLE 450 GLE 450,"15,009 mi.",4.8,899.0,63998.0
2020 Mercedes-Benz SL 450 SL 450,"14,021 mi.",4.3,352.0,65024.0
2023 Mercedes-Benz EQE 350 Base 4MATIC,"3,083 mi.",4.9,2166.0,69771.0
2023 Mercedes-Benz GLC 300 Base 4MATIC,"4,425 mi.",4.0,377.0,51995.0
2020 Mercedes-Benz AMG E 53 Base 4MATIC,"12,705 mi.",4.5,991.0,57877.0
2021 Mercedes-Benz AMG GLC 43 4MATIC Coupe,"20,431 mi.",4.7,1424.0,53977.0
2017 Mercedes-Benz SLC 300 Base,"61,614 mi.",4.5,1050.0,22498.0
2021 Mercedes-Benz A-Class A 220,"29,909 mi.",0.0,150.0,28784.0
2020 Mercedes-Benz SL 450 Base,"12,708 mi.",4.7,1948.0,67800.0
2020 Mercedes-Benz GLE 450 4MATIC,"44,343 mi.",3.8,146.0,42595.0
